-,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177
76,29,29,29,29,29,29,25,25,25,25,25,29,29,29,29,13,13,10,10,13,29,29,29,29,29,13,13,26,10,13,29,29,29,29,29,29,29,29,13,13,13,13,24,29,29,29,29,29,29,29,29,29,29,13,13,10,10,26,29,29,29,29,13,13,13,13,13,29,29,29,29,29,29,13,13,13,13,26,29,29,29,29,29,29,13,13,13,13,13,29,29,29,13,13,13,13,13,29,29,29,13,13,13,13,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,8,8,8,8,8,29,29,29,29,29,29,29,29,29,13,13,24,24,24,29,29,29,29,13,13,13,13,13,29,29,29,29,13,24,24,24,24,29,29,29,29,13,13,13,13,13,29,29,29,13,13,24,24,13,29,29,29
77,10,26,25,25,25,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,24,13,13,13,10,10,10,10,10,13,13,13,13,13,10,10,10,13,13,13,29,29,10,10,10,26,26,26,26,26,10,10,10,10,13,13,29,29,29,10,10,10,10,25,25,25,25,25,10,10,10,26,26,25,25,25,10,10,10,10,26,26,25,25,25,10,10,10,10,26,26,25,25,25,10,10,10,10,10,10,10,10,13,13,13,13,13,10,10,10,10,10,26,25,25,25,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,26,26,26,26,26,10,10,10,10,10,25,25,25,25,25,10,10,10,26,26,26,26,26,10,10,10,10,10,10,10,10,10,13,29,29,13,13,10,10,10,10,13,13
78,1,4,4,4,4,4,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,15,7,7,7,7,1,1,1,1,15,15,15,21,21,1,1,1,19,19,19,19,19,1,1,1,1,4,4,4,4,4,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,15,15,15,15,15,1,1,1,1,1,15,7,15,15,15,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,15,15,15,15,15,1,1,1,1,4,4,4,4,4,1
79,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23,23,23,30,30,2,2,2,2,3,20,20,3,3,2,2,2,2,2,23,23,23,23,23,2,2,2,2,23,23,20,23,23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,23,23,30,2,2,2,2,2,2,2,23,23,23,23,23,2,2,2,2,2,2,2,2,20,3,20,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,20,20,20,20,2,2,2,2,2,2,2,2,2,2,2,23,30,30,30,30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20
80,2,2,2,2,2,20,20,20,20,20,20,23,23,23,23,23,20,20,20,3,3,3,3,3,20,20,20,20,20,3,3,2,2,2,20,20,20,20,3,3,3,30,30,20,20,20,20,20,20,20,20,2,2,2,2,23,20,20,20,2,2,2,2,2,20,20,20,20,2,2,2,2,2,20,20,20,20,20,3,3,3,23,23,20,20,20,20,20,20,20,20,23,23,30,30,23,20,20,20,20,20,20,2,2,2,2,2,20,20,20,2,2,2,2,2,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,23,20,20,20,20,20,20,3,23,3,3,3,20,20,20,20,20,2,2,2,2,2,20,20,20,20,20,2,2,2,2,2,20,20,20,20,20,3,23,23,23,23,20,20,20
81,10,10,10,10,10,10,25,25,25,25,25,10,10,10,10,10,10,10,10,10,13,24,13,13,13,10,10,10,10,10,13,13,13,13,13,10,10,10,10,10,26,26,26,25,25,10,10,10,10,10,10,10,10,10,10,13,13,13,24,24,10,10,10,10,26,26,26,26,26,10,10,10,10,10,13,13,13,13,13,10,10,10,10,26,26,25,25,25,10,10,10,10,13,13,29,29,29,10,10,10,10,10,10,13,13,13,13,13,10,10,10,10,10,26,25,25,25,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,29,29,10,10,10,10,10,10,10,10,10,10,10,13,29,29,29,13,10,10,10,25,25,25,25,25,10,10,10,10,10,26,25,25,25,25,10,10,10,13
82,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
83,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23,30,30,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23,23,23,20,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23,23,23,23,23,2,2,2,2,2,2,2,2,2,2,20,3,3,23,23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20
84,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
85,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,20,20,20,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23,23,20,20,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23,23,23,23,23,2,2,2,2,2,2,2,2,2,2,2,2,2,3,20,23,23,23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23
86,12,12,12,12,5,5,5,5,5,12,12,12,12,18,18,18,18,18,12,12,12,12,12,12,12,5,5,5,5,17,12,12,12,12,12,12,5,5,5,17,17,12,12,12,12,12,12,12,12,12,17,17,17,5,5,12,12,12,12,12,12,8,8,8,8,8,12,12,12,12,12,12,12,8,8,8,21,21,12,12,12,8,8,8,8,29,12,12,12,8,8,8,8,8,12,12,12,12,12,5,5,5,5,5,12,12,12,12,8,8,8,8,8,12,12,12,12,12,5,5,5,5,5,12,12,12,12,12,12,12,12,8,8,8,27,11,12,12,12,12,12,5,17,5,17,18,12,12,12,8,8,8,8,8,12,12,12,12,12,12,12,18,18,18,18,18,12,12,12,12,12,18,18,18,18,18,12
87,7,7,7,7,7,21,21,21,27,27,7,7,7,7,21,21,21,21,8,7,7,7,7,21,21,21,21,21,7,7,7,7,11,11,19,19,19,7,7,7,7,7,7,11,11,27,27,27,7,7,7,7,27,27,27,27,11,7,7,7,21,21,21,21,21,7,7,7,21,21,21,27,11,7,7,7,11,11,11,11,11,7,7,7,7,7,7,7,21,21,21,21,21,7,7,7,27,27,27,27,27,7,7,7,15,15,15,15,15,7,7,7,21,21,21,21,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,21,21,21,7,7,7,7,21,21,21,21,21,7,7,7,7,7,21,21,27,27,11,7,7,7,7,7,7,7,7,7,21,21,21,21,21,7,7,7,7,21,21,21,21,21,7
88,20,20,23,23,23,23,2,20,20,20,20,20,20,20,20,3,23,3,23,23,20,20,20,20,23,23,23,30,30,20,20,20,3,30,4,4,4,20,20,20,20,20,20,23,23,23,23,23,20,20,20,2,2,2,2,2,20,20,20,2,2,2,2,2,20,20,20,20,3,3,2,2,2,20,20,20,20,20,2,2,2,2,2,20,20,20,20,20,20,20,20,20,2,2,2,2,2,20,20,20,20,20,20,20,20,3,3,3,3,30,20,20,20,3,3,3,2,2,20,20,20,20,20,20,20,20,20,20,3,3,30,30,30,20,20,20,20,20,20,3,23,3,3,3,20,20,20,20,20,2,2,2,2,2,20,20,20,20,20,2,2,2,2,2,20,20,20,20,20,3,23,23,23,23,20,20,20
89,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,1,1,1,1,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,15,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,1,1,1,1,15,4,4,4,4,4,4,4,4,1,1,1,1,15,4,4,4
90,10,10,10,10,10,26,26,26,10,10,10,10,10,26,26,26,25,25,25,25,25,26,26,26,26,10,10,13,10,10,26,26,26,26,26,26,10,10,10,10,25,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,26,26,26,25,25,25,10,10,26,26,26,10,10,10,10,10,26,26,26,26,26,26,26,10,10,10,10,10,26,26,26,10,10,10,10,10,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,26,26,26,26,26,25,25,25,25,25,26,26,26,25,25,25,25,25,26,26,26,10,10,10,10,10,26,26,26,26,26,26,26,26,26,25,25,25,25,25,26,26,26,26,26,26,26,26,26,10,13,13,13,29,26,26,26,26,26,10,10,10,10,10,26,26,26,26,26,26
91,6,28,28,28,28,28,6,6,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,6,6,6,6,9,9,9,17,17,6,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,28,28,28,28,28,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,6,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,6,6,6,9,9,9,9,9,6,6,6,6,28,28,28,28,28,6,6,6,28,28,28,28,28,6,6,6,9,9
92,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,10,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
93,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,16,16,16,16,16,22,22,22
94,12,12,12,12,5,5,5,5,5,12,12,12,12,18,18,18,18,18,12,12,12,12,12,12,12,12,8,8,8,8,8,12,12,12,12,12,18,18,18,18,18,12,12,12,12,12,12,12,12,12,12,12,17,17,17,5,5,12,12,12,12,8,8,8,8,8,12,12,12,12,12,12,12,8,8,8,21,21,12,12,12,12,12,12,12,12,8,8,24,24,24,12,12,12,12,5,5,17,17,5,12,12,12,12,4,4,4,4,4,12,12,12,12,5,5,5,5,5,12,12,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,12,12,12,12,12,12,17,5,17,18,18,12,12,12,12,12,12,12,18,18,18,18,18,12,12,12,5,17,17,17,17,12,12,12,12,8,8,8,8,8,12
95,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
96,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,16,16
97,23,23,30,30,30,30,30,23,23,23,23,23,23,23,23,20,2,2,2,2,23,23,23,23,23,23,20,20,20,3,3,23,23,23,23,30,2,2,2,2,23,23,23,3,3,2,2,2,23,23,23,23,23,20,20,20,20,20,23,23,23,23,23,23,2,2,2,2,2,23,23,23,23,30,30,30,30,30,23,23,23,23,23,2,2,2,2,2,23,23,23,23,23,23,23,23,23,30,30,30,30,30,23,23,23,23,23,23,20,20,20,3,20,23,23,23,2,2,2,2,2,23,23,23,23,23,23,23,23,23,30,30,30,30,4,23,23,23,23,23,23,23,23,23,20,20,3,3,3,23,23,23,20,20,20,20,20,23,23,23,23,23,23,20,2,2,2,2,23,23,23,23,23,20,20,20,3
98,10,10,10,10,10,10,25,25,25,25,25,10,10,10,10,10,10,10,10,10,10,25,25,25,25,25,10,10,10,10,10,10,10,10,26,26,26,26,26,10,10,10,10,10,26,26,26,26,26,10,10,10,10,10,10,10,10,26,26,25,25,25,10,10,10,10,10,10,26,26,26,26,26,10,10,10,10,26,26,26,26,26,10,10,10,10,26,26,26,26,26,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,10,10,10,10,10,10,10,26,26,26,26,26,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,29,29,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,26,10,10,10,25,25,25,25,25,10,10,10,10,10,26,25,25,25,25,10,10,10,10
99,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16
100,10,10,10,10,10,26,26,26,10,10,10,10,10,26,26,26,25,25,25,25,25,26,26,26,26,26,26,13,13,24,24,24,26,26,26,26,26,26,26,10,25,25,25,25,26,26,26,26,26,26,26,25,25,25,25,25,26,26,26,25,25,25,10,10,26,26,26,10,10,10,10,10,26,26,26,26,26,26,26,10,10,10,10,10,26,26,26,10,10,10,10,10,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,26,26,26,26,26,26,10,10,10,10,10,26,26,26,26,26,26,26,26,26,26,10,10,10,10,10,26,26,26,26,26,26,26,26,26,26,10,10,10,10,10,26,26,26,26,26,26,26,26,10,10,10,10,10,26,26,26,26,26,10,10,10,10,10,26,26,26,26,26,26
101,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,15,4,4,4
102,1,4,4,4,4,4,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,15,15,15,15,15,1,1,1,1,15,15,15,15,15,1,1,1,19,19,19,19,19,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,15,15,15,15,15,1,1,1,1,1,1,1,1,1,15,15,15,15,15,1,1,1,4,4,4,4,4,1,1,1,1,15,7,15,15,15,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,15,15,15,15,15,1,1,1,1,4,4,4,4,4,1
103,6,28,28,28,28,28,6,6,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,6,9,9,9,9,9,6,6,6,6,6,6,6,6,6,9,9,9,17,17,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,28,28,28,28,28,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,6,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,6,6,6,9,9,9,9,9,6,6,6,6,28,28,28,28,28,6,6,6,28,28,28,28,28,6,6,6,9,9
104,27,11,11,19,19,19,27,27,27,27,27,27,27,27,11,11,11,11,11,27,27,27,27,27,27,27,11,21,21,21,21,27,27,27,27,27,11,11,21,21,21,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,11,19,19,19,19,27,27,27,27,27,27,11,11,11,11,11,27,27,27,27,11,11,11,11,11,27,27,27,27,27,27,27,27,27,11,11,11,21,21,27,27,27,27,27,27,11,11,21,21,21,27,27,27,27,27,27,27,27,27,27,11,11,11,19,19,27,27,27,27,27,27,27,27,27,27,27,11,11,7,21,21,27,27,27,27,27,27,11,11,11,11,11,27,27,27,27,11,11,11,11,11,27,27,27,27,27,27,11,11,11,11,7,27,27,27,27,27,11,11,21,21
105,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16
106,30,30,30,30,23,23,2,2,2,30,30,30,30,30,30,30,4,4,4,4,4,30,30,30,30,30,30,30,30,30,30,23,23,23,23,20,30,30,30,30,30,30,30,4,4,4,4,4,30,30,30,30,4,4,4,4,4,30,30,30,30,30,30,30,4,4,4,4,4,30,30,30,30,4,4,4,4,4,30,30,30,30,30,2,2,2,2,2,30,30,30,30,30,30,30,23,23,3,3,3,30,30,30,20,20,20,20,20,30,30,30,30,30,30,30,3,20,23,23,23,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2,2,2,2,2,30,30,30,30,4,4,4,4,4,30,30,30,30,30,30,30,30,30,30,30,30,30,4,4,4,4,4,30,30,30,30,30,30,30,30,30,30,4
107,9,9,9,9,9,9,9,9,17,17,18,18,18,9,9,9,9,9,5,5,5,5,5,9,9,9,9,9,9,9,9,9,12,12,12,12,12,9,9,9,9,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,28,28,28,28,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
108,8,12,12,12,12,12,8,8,8,8,8,8,8,12,12,12,12,12,8,8,8,8,29,29,29,29,29,8,8,8,8,12,12,12,12,12,8,8,8,8,8,29,29,13,13,13,8,8,8,12,12,12,12,12,8,8,8,8,8,8,8,12,12,12,5,5,8,8,8,8,8,8,8,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,29,13,29,13,13,8,8,8,12,12,12,12,12,8,8,8,12,12,12,12,12,8,8,8,12,5,12,12,12,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,8,8,8,12,12,12,12,12,8,8,8,8,29,29,29,29,13,8,8,8,8,8,8,8,8,12,12,12,5,17,8,8,8,12,12,12,12,12,8,8,8,8,8
109,12,12,12,12,8,8,29,29,24,12,12,12,12,18,18,18,18,18,12,12,12,12,12,12,12,12,8,8,8,8,8,12,12,12,12,12,12,12,5,17,17,17,17,12,12,12,12,12,12,12,12,12,12,12,12,5,5,5,5,5,12,12,12,12,5,5,5,5,5,12,12,12,12,12,12,12,12,8,8,8,8,8,12,12,12,12,8,8,29,13,13,12,12,12,12,8,8,29,29,29,12,12,12,12,4,4,4,4,4,12,12,12,12,12,12,12,12,12,5,5,5,5,5,12,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,12,12,12,5,17,17,17,5,12,12,12,12,12,12,18,18,18,18,18,12,12,12,5,5,5,5,5,12,12,12,12,8,8,8,8,8,12
110,27,27,27,27,27,27,27,27,11,11,11,11,21,27,27,27,27,27,27,27,27,27,27,27,27,27,11,11,11,21,21,27,27,27,27,27,11,11,21,21,21,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,11,19,19,19,19,27,27,27,27,27,27,27,27,27,11,11,11,19,19,27,27,27,27,27,27,27,27,11,11,11,11,11,27,27,27,27,11,11,11,11,11,27,27,27,27,11,11,21,21,21,27,27,27,27,27,27,27,27,27,27,11,11,11,11,11,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,11,11,11,7,7,27,27,27,27,11,11,19,19,19,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
111,6,28,28,28,28,28,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,17,17,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,28,28,28,28,28,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,6,6,6,6,6,6,6,28,28,28,28,28,6,6,6,6,6,6,6,6,6,9,9,9,9,9,6,6,6,6,28,28,28,28,28,6,6,6,28,28,28,28,28,6,6,6,9,9
112,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,5,5,17,17,5,9,9,9,9,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
113,21,21,21,21,7,7,7,7,11,21,21,21,7,7,7,7,7,21,21,21,21,21,21,21,21,7,7,7,7,7,21,21,21,21,21,21,21,21,21,7,7,7,7,7,21,21,21,21,21,7,7,7,7,7,21,21,21,21,27,27,27,27,11,21,21,21,21,21,21,21,21,7,7,7,7,7,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,7,7,7,11,27,21,21,21,21,8,8,27,27,11,21,21,21,21,21,21,21,21,21,21,21,7,7,7,7,7,21,21,21,21,21,21,21,7,7,7,7,7,21,21,21,7,7,7,7,7,21,21,21,7,7,7,7,7,21,21,21,7,7,7,7,7,21,21,21,7,7,27,27,27,21,21,21,21,21,7,7,7,7,7,21
